fighter_id,first,last,nickname,url
424,Ilian,Bouafia,The Gorilla,http://ufcstats.com/fighter-details/d5e929c26f25f0d3
425,Gregory,Bouchelaghem,,http://ufcstats.com/fighter-details/59851163aaf1aed8
426,Roy,Boughton,Black Dynamite,http://ufcstats.com/fighter-details/2aaf0181432adf0b
427,Rich,Bouphanouvong,,http://ufcstats.com/fighter-details/611b9c068c9e2c44
428,Mike,Bourke,The Rhino,http://ufcstats.com/fighter-details/dfdd0c5dd0d4bc23
429,Jess,Bouscal,,http://ufcstats.com/fighter-details/38b1417ec17072da
430,Tai,Bowden,,http://ufcstats.com/fighter-details/2efbc83a6b9b7f86
431,Melton,Bowen,The Punisher,http://ufcstats.com/fighter-details/81ca2c245b19b3c5
432,Kyron,Bowen,Bullseye,http://ufcstats.com/fighter-details/5488b3c67600333a
433,Brian,Bowles,,http://ufcstats.com/fighter-details/b26d3e3746fb4024
434,Roger,Bowling,Relentless,http://ufcstats.com/fighter-details/3b9f723e2720a238
435,Blake,Bowman,,http://ufcstats.com/fighter-details/a95a0504fd73bd3e
436,Ashe,Bowman,The Archer,http://ufcstats.com/fighter-details/8a0a35e7c74bebcc
437,Anvar,Boynazarov,The Uzbek,http://ufcstats.com/fighter-details/4a191f4ea2fce7fc
438,Colley ,Bradford,,http://ufcstats.com/fighter-details/1433786ac76cf777
439,Kyle,Bradley,,http://ufcstats.com/fighter-details/a6959da32f0e6b5d
440,Paul,Bradley,The Gentleman,http://ufcstats.com/fighter-details/c7011de4765d2497
441,Sean,Brady,,http://ufcstats.com/fighter-details/45f7cb591c3ab00b
442,Ebenezer Fontes,Braga,Pitbull,http://ufcstats.com/fighter-details/dc950d59dc590aca
443,Ramiz,Brahimaj,,http://ufcstats.com/fighter-details/3d074044a33825e7
444,Adam,Bramhald,Samurai,http://ufcstats.com/fighter-details/3c99bd6cb5d835ef
445,Joe,Brammer,The South Side Strangler,http://ufcstats.com/fighter-details/013da757877044a2
